FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
899350|Gray Bull Spring|Spring|NM|35|Catron|003|333108N|1090054W|33.5188324|-109.0149816|||||2143|7031|Blue|02/01/1992|04/19/2011
899351|Saddle Mountain Lookout|Locale|NM|35|Catron|003|333656N|1090003W|33.6156112|-109.000903|||||2537|8323|Blue|02/01/1992|
899352|Tige Rim|Cliff|NM|35|Catron|003|333403N|1090232W|33.5675561|-109.0422928|||||2285|7497|Blue|02/01/1992|
899353|Tige Spring|Spring|NM|35|Catron|003|333237N|1090244W|33.5437037|-109.0456323|||||2276|7467|Blue|02/01/1992|04/19/2011
899354|Double J Ranch|Locale|NM|35|Catron|003|335024N|1090022W|33.8400526|-109.006184|||||2337|7667|Luna Lake|02/01/1992|
899355|Engineer Spring|Spring|NM|35|Catron|003|334953N|1090021W|33.8314416|-109.005906|||||2291|7516|Luna Lake|02/01/1992|
899357|Mason Tank|Reservoir|NM|35|Sierra|051|330640N|1062459W|33.1111111|-106.4163889|||||1211|3973|Lumley Lake|11/13/1980|
899358|Thurgood Canyon|Valley|NM|35|Sierra|051|332211N|1062550W|33.3697987|-106.4305616|331909N|1063243W|33.3192436|-106.5452867|1393|4570|Sheep Mountain|11/13/1980|
899359|Adobe Downs Ranch|Locale|NM|35|San Juan|045|365321N|1080337W|36.8891692|-108.0603482|||||1876|6155|Adobe Downs Ranch|11/13/1980|
899360|Adobe House Tank|Reservoir|NM|35|Sierra|051|331311N|1064707W|33.2197978|-106.7852941|||||1848|6063|Shannon Canyon|11/13/1980|
899361|Alkali Spring|Spring|NM|35|Sierra|051|330511N|1062930W|33.0864695|-106.4916716|||||1199|3934|Lumley Lake|11/13/1980|
899362|Amole Ridge|Ridge|NM|35|Sierra|051|331212N|1063753W|33.2034109|-106.6313996|||||1986|6516|Hardscrabble Mountains|11/13/1980|
899363|Barton Arroyo|Stream|NM|35|San Juan|045|364822N|1080257W|36.8061147|-108.0492363|365336N|1080421W|36.8933356|-108.0725709|1683|5522|Flora Vista|11/13/1980|
899364|Bat Ranch Spring|Spring|NM|35|Sierra|051|330208N|1063534W|33.0355218|-106.5926531|||||1517|4977|Strawberry Peak|11/13/1980|04/19/2011
899365|Bear Den School|School|NM|35|Sierra|051|332231N|1063916W|33.3753527|-106.6544574|||||1610|5282|Salinas Peak NW|11/13/1980|
899366|Black Bear Mine|Mine|NM|35|Sierra|051|331312N|1063941W|33.2200771|-106.6614008|||||1804|5919|Hardscrabble Mountains|11/13/1980|
899367|Black Den Tank|Reservoir|NM|35|Sierra|051|331258N|1063954W|33.2161882|-106.665012|||||1710|5610|Hardscrabble Mountains|11/13/1980|
899368|Black Glade|Stream|NM|35|San Juan|045|365713N|1080224W|36.953613|-108.0400699|365829N|1080018W|36.9747222|-108.005|1946|6384|Adobe Downs Ranch|11/13/1980|
899369|Blue Lake Wash|Stream|NM|35|San Juan|045|365626N|1080829W|36.9405568|-108.1414631|365625N|1080422W|36.9402796|-108.072849|1768|5800|La Plata|11/13/1980|
899370|Bohanan Canyon|Valley|NM|35|San Juan|045|365205N|1075819W|36.868059|-107.9720117|365552N|1080054W|36.9311135|-108.0150687|1732|5682|Aztec|11/13/1980|
899371|Bosque Spring|Spring|NM|35|Sierra|051|330945N|1064049W|33.1625773|-106.6802898|||||1798|5899|Hardscrabble Mountains|11/13/1980|
899372|Brady Spring|Spring|NM|35|Sierra|051|331916N|1063442W|33.3211876|-106.5783434|||||1827|5994|Salinas Peak|11/13/1980|
899373|Broke Tank|Reservoir|NM|35|Sierra|051|332406N|1064233W|33.4017408|-106.7091814|||||1533|5029|Salinas Peak NW|11/13/1980|
